Date,Equity,Cash,Return,Peak,Drawdown
2023-04-19,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-20,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-21,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-24,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-25,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-26,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-27,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-04-28,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-05-01,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-05-02,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
2023-05-03,1136.110513322455,1136.110513322455,0.0,1159.5043062757286,-0.02017568440811855
